organ,organ,color
YS,YS,#0173b2
LI,LI,#de8f05
BM,BM,#029e73
TH,TH,#d55e00
SP,SP,#cc78bc
MLN,MLN,#ca9161
SK,SK,#fbafe4
GU,GU,#949494
KI,KI,#ece133
