TRAV1-1
TRAV1-2
TRAV2
TRAV3
TRAV4
TRAV5
TRAV6
TRAV7
TRAV8-1
TRAV9-1
TRAV10
TRAV12-1
TRAV8-2
TRAV8-3
TRAV13-1
TRAV12-2
TRAV8-4
TRAV13-2
TRAV14/DV4
TRAV9-2
TRAV12-3
TRAV8-6
TRAV16
TRAV17
TRAV18
TRAV19
TRAV20
TRAV21
TRAV22
TRAV23/DV6
TRAV24
TRAV25
TRAV26-1
TRAV8-7
TRAV27
TRAV29/DV5
TRAV30
TRAV26-2
TRAV34
TRAV35
TRAV36/DV7
TRAV38-1
TRAV38-2/DV8
TRAV39
TRAV40
TRAV41
